annotation_id,movie,character,speech_id,text,annotation_label
59,the_order_phoenix,DUMBLEDORE,438,"Ah, I thought we might hit that little snag. You seem to be laboring under the delusion that I am going to--what is the phrase? 'Come quietly.' But I'm afraid I have no intention of going to Azkaban.",Danger
60,the_order_phoenix,DUMBLEDORE,645,Harry--,Relationship
61,the_order_phoenix,DUMBLEDORE,646,"It was foolish of you to come here tonight, Tom. The Aurors are on",Danger
62,the_order_phoenix,DUMBLEDORE,650,Harry! Stay where you are--!,Danger
63,the_order_phoenix,DUMBLEDORE,653,Don't fight him Harry! You can't,Danger
64,the_order_phoenix,DUMBLEDORE,657,Harry...it's not how you are alike--it's how you're not.,Relationship
65,the_order_phoenix,DUMBLEDORE,663,Please. Come in?,Relationship
66,the_order_phoenix,DUMBLEDORE,664,Harry...I know how you must be feeling... 135.,Relationship
67,the_order_phoenix,DUMBLEDORE,665,"No, Harry....the fault is mine.",Relationship
68,the_order_phoenix,DUMBLEDORE,666,"Harry...as much as it pains me to disillusion you, I am all too fallible...and this war that has now begun may just as easily be lost as won.",Danger
69,the_order_phoenix,DUMBLEDORE,667,"I knew it was only a matter of time before Voldemort became aware of the connection between you, and tried to exploit it. I thought by distancing myself from you, as I",Danger
70,goblet_of_fire,DUMBLEDORE,103,"Now we're all settled in and sorted, I'd like to make an announcement. This castle will not only be your home this year but home to some very special guests as well. You see Hogwarts has been choosen...",Storyline
71,goblet_of_fire,DUMBLEDORE,104,"So Hogwarts has been choosen to host a legendary event. The Tri-Wizard tournament. Now for those of you who do not know, the tri-wizard tournament brings together three schools for a series of magical contests. From each school a single contestant is selected to compete. Now let me be clear, if choosen you stand alone. And trust me when I say these contests are not for the faint hearted, but more of that later. For now please join me in welcoming the lovely ladies of the Beauxbatons Academy of magic",Storyline
72,goblet_of_fire,DUMBLEDORE,106,"And now our friends from the north, please greet the proud sons of Durmstrang and the high master Igor Karkaroff.",Storyline
73,goblet_of_fire,DUMBLEDORE,110,"Not to worry Madame Maxime, our gamekeeper Hagrid's more than capable of seeing",Informative
74,goblet_of_fire,DUMBLEDORE,113,"Your attention please! I would like to say a few words. Eternal glory, that is what awaits the student who wins the tri-wizard tournament. But to do this that student must survive three tasks. Three extremely dangerous tasks.",Danger
75,goblet_of_fire,DUMBLEDORE,115,For this reason the ministry has seen fit to impose a new rule. To explain all this we have the head of the department of international magic cooperation Mister Bartimus Crouch.,Magic
76,goblet_of_fire,DUMBLEDORE,117,"My dear old friend, thanks for coming.",Relationship
77,goblet_of_fire,DUMBLEDORE,123,The goblet of fire. Anyone wishing to submit themselves for the tournament,Storyline
78,goblet_of_fire,DUMBLEDORE,145,"Sit down please. And now the moment you've all been waiting for, the champions selection!",Informative
79,goblet_of_fire,DUMBLEDORE,146,The Durmstrang champion is ... Viktor Krum!,Informative
80,goblet_of_fire,DUMBLEDORE,147,The champion from Beauxbatons... Fleur Delacour,Informative
81,goblet_of_fire,DUMBLEDORE,148,The Hogwarts champion... Cedric Diggory.,Informative
82,goblet_of_fire,DUMBLEDORE,149,"Excellent! we now have our three champions! But in the end only one will go down in history. Only one will hoist this chalice of champions, this vessel of victory the tri-wizard cup!",Storyline
83,goblet_of_fire,DUMBLEDORE,153,Harry! Did you put your name in the goblet of fire?,Informative
84,goblet_of_fire,DUMBLEDORE,155,Did you ask one of the older students to do it for you?,Informative
85,goblet_of_fire,DUMBLEDORE,157,You're absolutely sure?,Informative
86,goblet_of_fire,DUMBLEDORE,160,That doesn't help Alastor. Leave this to you Barty.,Duty
87,goblet_of_fire,DUMBLEDORE,163,What do you suggest Minerva?,Informative
88,goblet_of_fire,DUMBLEDORE,165,You heard Barty the rules are clear.,Informative
89,goblet_of_fire,DUMBLEDORE,167,"I agree with Severus. Alastor, keep an eye on Harry will you?",Duty
90,goblet_of_fire,DUMBLEDORE,274,"Good day champions. Gather round please. Now you've waited, you've wondered and at last the moment has arrived. The moment only four of you can fully appreciate.",Informative
91,goblet_of_fire,DUMBLEDORE,275,What are you doing here Miss Granger?,Relationship
92,goblet_of_fire,DUMBLEDORE,277,Barty. The bag.,Informative
93,goblet_of_fire,DUMBLEDORE,286,Very well. Good luck champions. Mr Diggory the sound of the cannon...,Informative
94,goblet_of_fire,DUMBLEDORE,462,Harry!,Relationship
95,goblet_of_fire,DUMBLEDORE,463,I want all the judges over here now.,Relationship
96,goblet_of_fire,DUMBLEDORE,472,Attention! Attention! The winner is... Mr Diggory!,Informative
97,goblet_of_fire,DUMBLEDORE,473,"For showing unique command of the bubblehead shark. The way I see it, Mr Potter would have finished first had it not been",Storyline
98,goblet_of_fire,DUMBLEDORE,485,"But surely that is what's right, no matter what others think.",Informative
99,goblet_of_fire,DUMBLEDORE,489,"Oh not necessary Harry the minister and I are done. I'll be back in a moment. Minister, after you. Harry do feel free to indulge in a liquorice snack in my absence, but I have to warn you they're a little bit sharp.",Informative
100,goblet_of_fire,DUMBLEDORE,503,The counsel is very much aware you have given evidence on this matter. Severus Snape was indeed a deatheater and prior to Lord Voldemort's downfall turned spy for us at great personal risk. Today he's no more a deatheater than I am.,Magic
101,goblet_of_fire,DUMBLEDORE,516,"Curiosity's not a sin Harry, but you should exercise caution. It's a pensieve, useful if like me you find your mind a wee bit stretched. It allows me to see what small things I've already seen. You see Harry I've searched and searched for something, some small detail. Something I might have overlooked, something that would explain why these terrible things have happened. Every time I get close to an answer it slips away, it's maddedning.",Magic
102,goblet_of_fire,DUMBLEDORE,519,Have there been other dreams like this?,Relationship
103,goblet_of_fire,DUMBLEDORE,521,"I think it's unwise for you to linger over these dreams Harry, I think it's best that you simply...",Relationship
104,goblet_of_fire,DUMBLEDORE,531,Earlier today Professor Moody placed the tri-wizards cup deep within the,Informative
105,goblet_of_fire,DUMBLEDORE,532,On the count of three... ONE...  The cannon goes off.,Informative
106,goblet_of_fire,DUMBLEDORE,583,Harry! Harry!,Relationship
107,goblet_of_fire,DUMBLEDORE,584,Tell me what happened!,Relationship
108,goblet_of_fire,DUMBLEDORE,586,"It's alright Harry. It's alright, he's home, you both are.",Relationship
109,goblet_of_fire,DUMBLEDORE,595,Do you know who I am?,Relationship
110,goblet_of_fire,DUMBLEDORE,596,Are you Alastor Moody? Are ya?,Relationship
111,goblet_of_fire,DUMBLEDORE,597,Are you alright Alastor?,Danger
112,goblet_of_fire,DUMBLEDORE,601,Now we know who's been stealing it from your store Severus.,Informative
113,goblet_of_fire,DUMBLEDORE,602,We'll get you up in a minute.,Informative
114,goblet_of_fire,DUMBLEDORE,604,Your arm Harry.,Relationship
115,goblet_of_fire,DUMBLEDORE,606,"Send an owl to Azkaban, think they'll find they're missing a prisoner.",Danger
116,goblet_of_fire,DUMBLEDORE,608,Perhaps. Personally I've never had much time for heroes.,Relationship
117,goblet_of_fire,DUMBLEDORE,609,"I never liked these curtains. Set them on fire in my fourth year, by accident of course. I put you in terrible danger this year Harry I'm sorry.",Danger
118,goblet_of_fire,DUMBLEDORE,611,Priorium Contatum. You saw your parents that night didn't you? They reappeared.,Magic
119,goblet_of_fire,DUMBLEDORE,612,"No spell can reawaken the dead Harry I trust you know that. Dark and diffiult times lie ahead. Soon we must all face the choice between what is right what is easy. But remember this, you have friends here. You're not alone.",Magic
120,deathly_hallows_part2,DUMBLEDORE,487,That wasnÃÂ¢ÃÂÃÂt my intention.,Informative
121,deathly_hallows_part2,DUMBLEDORE,488,"Stand up, Severus. I havenÃÂ¢ÃÂÃÂt much time. What message do you bring from Lord Voldemort this time?",Relationship
122,deathly_hallows_part2,DUMBLEDORE,489,Is this about the Prophecy?,Magic
123,deathly_hallows_part2,DUMBLEDORE,491,How much did you relay?,Informative
124,deathly_hallows_part2,DUMBLEDORE,493,"If she means so much to you, surely Lord Voldemort would spare",Informative
125,deathly_hallows_part2,DUMBLEDORE,495,You disgust me. You would sacrifice the life of an innocent child over a schoolboy crush?,Relationship
126,deathly_hallows_part2,DUMBLEDORE,496,"And should I do so, what will you give me in return, Severus?",Relationship
127,deathly_hallows_part2,DUMBLEDORE,500,"If you loved Lily Evans, Severus. If you truly loved her. Then your way is clear.",Relationship
128,deathly_hallows_part2,DUMBLEDORE,502,My word that I shall never reveal,Duty
129,deathly_hallows_part2,DUMBLEDORE,503,"Sometimes we see what we expect to see, Severus. Other teachers indicate the boy is modest, likeable and while no prodigy, possesses above-average gifts. Personally, I find him rather engaging.",Relationship
130,deathly_hallows_part2,DUMBLEDORE,505,Perhaps. Oh. Severus.,Relationship
131,deathly_hallows_part2,DUMBLEDORE,507,I was... foolish... greedy...,Relationship
132,deathly_hallows_part2,DUMBLEDORE,509,For the time being?,Informative
133,deathly_hallows_part2,DUMBLEDORE,513,"Well, this makes matters much more straightforward.",Informative
134,deathly_hallows_part2,DUMBLEDORE,514,"Do not ignore me, Severus. Was it not you who told me of Lord VoldemortÃÂ¢ÃÂÃÂs plan to have the Malfoy boy murder me?",Relationship
135,deathly_hallows_part2,DUMBLEDORE,515,You must agree.,Duty
136,deathly_hallows_part2,DUMBLEDORE,516,"Yes. You must be the one to kill me, Severus. It is the only way. Only then will the Dark Lord trust you completely.",Duty
137,deathly_hallows_part2,DUMBLEDORE,518,There will come a time when Harry Potter must be told something. But you must wait until Voldemort,Duty
138,deathly_hallows_part2,DUMBLEDORE,519,"On the night Lord Voldemort went to GodricÃÂ¢ÃÂÃÂs Hollow to kill Harry, and Lily Potter cast herself",Storyline
139,deathly_hallows_part2,DUMBLEDORE,520,ThereÃÂ¢ÃÂÃÂs a reason Harry can speak,Storyline
140,deathly_hallows_part2,DUMBLEDORE,522,Yes. And Voldemort himself must do it. That is essential.,Storyline
141,deathly_hallows_part2,DUMBLEDORE,524,"But this is touching, Severus. DonÃÂ¢ÃÂÃÂt tell me youÃÂ¢ÃÂÃÂve grown to care for the boy?",Relationship
142,deathly_hallows_part2,DUMBLEDORE,526,Lily. After all this time?,Relationship
143,deathly_hallows_part2,DUMBLEDORE,561,You cannot help.,Duty
144,deathly_hallows_part2,DUMBLEDORE,562,"Harry. You wonderful boy. You brave, brave man. Let us walk.",Relationship
145,deathly_hallows_part2,DUMBLEDORE,566,"Ah. That is the question, isnÃÂ¢ÃÂÃÂt it? On the whole I think not.",Informative
146,deathly_hallows_part2,DUMBLEDORE,570,"And that will, I think, have made all the difference. I suspect you now realize that you and Voldemort have been connected by something other than fate since that night in GodricÃÂ¢ÃÂÃÂs Hollow all those years ago, Harry.",Storyline
147,deathly_hallows_part2,DUMBLEDORE,572,Did. It was just destroyed only moments ago by none other than,Informative
148,deathly_hallows_part2,DUMBLEDORE,573,"You were the seventh Horcrux,",Magic
149,deathly_hallows_part2,DUMBLEDORE,575,"Certain? No. Little is certain in this world, Harry. Call it an educated guess. Dumbledore smiles.",Informative
150,deathly_hallows_part2,DUMBLEDORE,577,Something beyond either of our help.,Informative
151,deathly_hallows_part2,DUMBLEDORE,579,I was going to ask you that. Where would you say that we are?,Relationship
152,deathly_hallows_part2,DUMBLEDORE,581,KingÃÂ¢ÃÂÃÂs Cross! Is that right?,Informative
153,deathly_hallows_part2,DUMBLEDORE,583,"You will have to forgive me, Harry. You see... I didnÃÂ¢ÃÂÃÂt trust you.",Relationship
154,deathly_hallows_part2,DUMBLEDORE,584,"I feared that you would make the same mistake I made, that you would be intoxicated by the power",Relationship
155,deathly_hallows_part2,DUMBLEDORE,586,You are the worthy possessor of,Informative
156,deathly_hallows_part2,DUMBLEDORE,590,True. But ask yourself this: were you calling them? Or were they calling you?,Relationship
157,deathly_hallows_part2,DUMBLEDORE,592,That is up to you.,Duty
158,deathly_hallows_part2,DUMBLEDORE,594,"Oh yes. We are in KingÃÂ¢ÃÂÃÂs Cross, you say? I think, should you so decide, you would be able to, letÃÂ¢ÃÂÃÂs say, board a train.",Duty
159,deathly_hallows_part2,DUMBLEDORE,602,ÃÂ¢ÃÂÃÂHelp will always be given at Hogwarts to those who ask for it.ÃÂ¢ÃÂÃÂ,Informative
160,deathly_hallows_part2,DUMBLEDORE,603,"I have always prized my ability to turn a phrase -- words are, in my not so humble opinion, our most inexhaustible source of magic, capable both of inflicting injury and remedying it. But I would -- in this case -- amend my original statement to this:",Relationship
161,deathly_hallows_part2,DUMBLEDORE,605,"IÃÂ¢ÃÂÃÂve never put much stock in miracles, Harry. On the other hand, I can attest wholly to the extensive advantages of a related phenomenon.",Informative
162,deathly_hallows_part2,DUMBLEDORE,608,"Do not pity the dead, Harry. Pity",Relationship
163,deathly_hallows_part2,DUMBLEDORE,610,"Actually, if I think about it... it doesnÃÂ¢ÃÂÃÂt seem curious at all.",Informative
164,deathly_hallows_part2,DUMBLEDORE,613,"Of course it is happening inside your head, Harry. But why should that mean that it is not real?",Relationship
165,half_blood_prince,DUMBLEDORE,38,I once knew a Muggle girl from Liverpool with hair like spun silk. No light could resist it...,Magic
166,half_blood_prince,DUMBLEDORE,40,"Rather unpleasant to behold, isnt it? The tale is thrilling if I do say so myself, but Im afraid now is not the time to tell it. Take my arm.",Duty
167,half_blood_prince,DUMBLEDORE,42,Indeed. And quite successfully I might add. Most people vomit,Relationship
168,half_blood_prince,DUMBLEDORE,44,"Welcome to the charming village of Budleigh Babberton, Harry. I assume right about now youre wondering why Ive brought you here, am I right?",Relationship
169,half_blood_prince,DUMBLEDORE,45,"Wand out, Harry.",Magic
170,half_blood_prince,DUMBLEDORE,46,Lumos...,Magic
171,half_blood_prince,DUMBLEDORE,49,"I must say, you make a very convincing armchair, Horace.",Mockery
172,half_blood_prince,DUMBLEDORE,52,"Ah yes. Introductions. Harry, this is an old friend and colleague of mine, Horace Slughorn. Horace, this is, well, you know who this is.",Storyline
173,half_blood_prince,DUMBLEDORE,53,"So why all the theatrics, Horace? You werent perhaps expecting someone else, were you?",Relationship
174,half_blood_prince,DUMBLEDORE,56,"Well, I think it should be put",Informative
175,half_blood_prince,DUMBLEDORE,57,That was fun. May I use the loo? ,Informative
176,half_blood_prince,DUMBLEDORE,65,Mind if I take this? I do love knitting patterns.,Relationship
177,half_blood_prince,DUMBLEDORE,67,"I think I know a lost cause when I see one. Regrettable. I would have considered it a personal triumph had you consented to return to Hogwarts, Horace. You are, like my friend Mr. Potter -- one of a kind.",Relationship
178,half_blood_prince,DUMBLEDORE,70,"You are talented, famous and powerful -- everything Horace values. Professor Slughorn is going to try to collect you, Harry. You would be his crowning",Storyline
179,half_blood_prince,DUMBLEDORE,71,"I fear I may have stolen a wondrous night from you, Harry.",Relationship
180,half_blood_prince,DUMBLEDORE,73,"Youll not be going back to Little Whinging tonight, Harry.",Informative
181,half_blood_prince,DUMBLEDORE,75,Both are waiting for you.,Informative
182,half_blood_prince,DUMBLEDORE,178,"Professor Slughorn, Im happy to",Relationship
183,half_blood_prince,DUMBLEDORE,179,"Now, as you know, each and every one of you was searched upon your arrival tonight. You have a right to know why.",Informative
184,half_blood_prince,DUMBLEDORE,180,"Today, of course, the world knows",Informative
185,half_blood_prince,DUMBLEDORE,181,"Just something to keep in mind. Now, off to bed. Pip pip!",Relationship
186,half_blood_prince,DUMBLEDORE,215,"Good evening, Harry. You got my message, I see. Come, come. Sit.",Relationship
187,half_blood_prince,DUMBLEDORE,216,So. How are you?,Relationship
188,half_blood_prince,DUMBLEDORE,218,"Enjoying your classes? Professor Slughorn, for one, is most impressed with you.",Relationship
189,half_blood_prince,DUMBLEDORE,222,And what of your activities,Relationship
190,half_blood_prince,DUMBLEDORE,224,I notice you spend a great deal of time with Miss Granger. One cant help but wonder if --,Relationship
191,half_blood_prince,DUMBLEDORE,226,"Forgive me, Harry, I...",Relationship
192,half_blood_prince,DUMBLEDORE,227,... I was merely curious.,Relationship
193,half_blood_prince,DUMBLEDORE,228,What you see before you are memories. In this case pertaining to one individual: Voldemort. Or,Magic
194,half_blood_prince,DUMBLEDORE,229,This vial contains a most particular memory -- of the day I first met him. Id like you to see it. If you would...,Storyline
195,half_blood_prince,DUMBLEDORE,231,I am not family. But his name has been known to me since birth.,Informative
196,half_blood_prince,DUMBLEDORE,234,Perhaps you could give me an example.,Informative
197,half_blood_prince,DUMBLEDORE,236,"How do you do, Tom.",Relationship
198,half_blood_prince,DUMBLEDORE,239,"As you wish. Riddle looks away and Dumbledore, for the first time,",Relationship
199,half_blood_prince,DUMBLEDORE,241,No. I am a Professor.,Informative
200,half_blood_prince,DUMBLEDORE,244,Hogwarts is not a place for mad people.,Informative
201,half_blood_prince,DUMBLEDORE,245,Its a school. A school of... magic. ,Informative
202,half_blood_prince,DUMBLEDORE,246,"You can do things, cant you, Tom? Things the other children cant.",Magic
203,half_blood_prince,DUMBLEDORE,248,"Tell me some of the things you can do, Tom.",Relationship
204,half_blood_prince,DUMBLEDORE,250,"Im like you, Tom. Different.",Relationship
205,half_blood_prince,DUMBLEDORE,252,"I think there is something trying to get out of your wardrobe, Tom. Open it. Open. It.",Magic
206,half_blood_prince,DUMBLEDORE,253,"Take it out. As Riddles fingers touch the box, the flames engulfing",Magic
207,half_blood_prince,DUMBLEDORE,254,Is there anything in that box you ought not to have?,Relationship
208,half_blood_prince,DUMBLEDORE,255,"Why did you want these things, Tom?",Relationship
209,half_blood_prince,DUMBLEDORE,256,"Thievery is not tolerated at Hogwarts. At Hogwarts, you will be taught not only how to use magic, but to control it. Understood?",Magic
210,half_blood_prince,DUMBLEDORE,258,It is unusual. But not unheard of.,Informative
211,half_blood_prince,DUMBLEDORE,260,Did I know that I had just met the most dangerous Dark Wizard of all time? No. Had I...,Danger
212,half_blood_prince,DUMBLEDORE,261,"Over time, while here at Hogwarts,",Informative
213,half_blood_prince,DUMBLEDORE,263,"No. I did not. You see, Professor Slughorn possesses something I desire very dearly.",Storyline
214,half_blood_prince,DUMBLEDORE,517,Confused? I would be surprised if you werent.,Informative
215,half_blood_prince,DUMBLEDORE,519,This is perhaps the most important memory Ive collected. Its also,Informative
216,half_blood_prince,DUMBLEDORE,520,I suspect he is ashamed of it.,Relationship
217,half_blood_prince,DUMBLEDORE,523,I asked you to get to know Professor Slughorn and youve done so.,Duty
218,half_blood_prince,DUMBLEDORE,525,"Youre the Chosen One, Harry. And Horace is, at heart, a decent man. Provide the proper circumstances",Duty
219,half_blood_prince,DUMBLEDORE,526,"This memory is everything, Harry. Without it, we are blind. Without it, we leave the fate of our world to chance. You have no choice. You must not fail.",Duty
220,half_blood_prince,DUMBLEDORE,590,"Quick thinking on your part, Harry. Using a Bezoar. You must be very proud of your student, eh, Horace?",Magic
221,half_blood_prince,DUMBLEDORE,593,"This appears to be a gift, Horace. You dont by chance remember who gave you this bottle, do you -- which by the way possesses remarkably subtle hints of licorice and cherry when not polluted with poison.",Danger
222,half_blood_prince,DUMBLEDORE,595,To whom might I ask?,Informative
223,half_blood_prince,DUMBLEDORE,605,"Ah, to be young and feel loves keen sting. Come, everyone, I think Mr. Weasley is well tended.",Relationship
224,half_blood_prince,DUMBLEDORE,721,"Its a Horcrux, yes. Four years ago, when you saved Ginny Weasleys life in the Chamber of Secrets, when you brought me this --",Magic
225,half_blood_prince,DUMBLEDORE,723,Belonged to Voldemorts mother. It was difficult to find and...,Storyline
226,half_blood_prince,DUMBLEDORE,725,One destroys Voldemort.,Duty
227,half_blood_prince,DUMBLEDORE,727,"True. But magic, especially Dark magic...",Magic
228,half_blood_prince,DUMBLEDORE,730,Yes. And I think... perhaps... I may have found another. But this time I cannot hope to destroy it alone.,Duty
229,half_blood_prince,DUMBLEDORE,731,"Once again, I shall ask too much of you.",Duty
230,half_blood_prince,DUMBLEDORE,745,"Whether it has or hasnt is irrelevant. I will not negotiate this with you, Severus. You agreed. Theres nothing more to discuss.",Relationship
231,half_blood_prince,DUMBLEDORE,746,"Harry. You need a shave, my friend.",Mockery
232,half_blood_prince,DUMBLEDORE,747,At times I forget how much youve grown. At times I still see the small boy from the cupboard.,Relationship
233,half_blood_prince,DUMBLEDORE,749,"Like your mother, you are unfailingly kind.",Relationship
234,half_blood_prince,DUMBLEDORE,751,"Understand what Im saying. Should I tell you to hide, you must hide.",Duty
235,half_blood_prince,DUMBLEDORE,752,"Should I tell you to run, you will * run.",Duty
236,half_blood_prince,DUMBLEDORE,753,And should I tell you to abandon * me and save yourself... You will do so. *,Duty
237,half_blood_prince,DUMBLEDORE,754,"Your word, Harry.",Duty
238,half_blood_prince,DUMBLEDORE,756,Take my arm.,Duty
239,half_blood_prince,DUMBLEDORE,758,Being me has its privileges.,Relationship
240,half_blood_prince,DUMBLEDORE,760,"This is the place. Oh yes, this place has known magic.",Informative
241,half_blood_prince,DUMBLEDORE,762,"In order to gain passage, payment must be made, payment intended to weaken any intruder.",Informative
242,half_blood_prince,DUMBLEDORE,764,"Oh, no, Harry. Your blood is much more precious than mine.",Relationship
243,half_blood_prince,DUMBLEDORE,765,Careful. The water.,Danger
244,half_blood_prince,DUMBLEDORE,766,Its there. The only question is how do we get to it?,Informative
245,half_blood_prince,DUMBLEDORE,770,"If you would, Harry...",Relationship
